bus_id,n_hours,mean_lmp,mae_ls,mae_oracle,median_ae,bias,max_abs_err
303,8784,27.091078542008194,9.537463783611727,11.34145877819345,8.279499999908069e-05,-9.691516636404666,3334.3362587618763
309,8784,31.449318392645722,7.487861389163236,7.645923948423435,8.279499999908069e-05,-0.14082847972160686,1912.2555106808816
324,8784,28.56456889640255,7.585310114197395,7.631890483222378,8.279499999908069e-05,-6.423666564679596,1560.9074114201242
308,8784,30.95278371994535,6.842407577583869,6.444544919824814,8.279499999908069e-05,-1.212507398343874,1314.3537875338982
307,8784,30.95278371994535,6.842407577583869,6.444544919824814,8.279499999908069e-05,-1.212507398343874,1314.3537875338982
122,8784,29.48291664560565,6.951479155936086,6.067706294674787,8.279499999908069e-05,-4.886976449856972,2581.909754719072
304,8784,30.763376990892535,6.593089848649501,5.988880020196329,8.279499999908069e-05,-1.6252478078012447,1075.7257481614897
312,8784,30.61865541120219,6.427917745062546,5.676320435625611,8.279499999908069e-05,-1.937735374767722,914.5897274284131
311,8784,30.537478739298724,6.326379617550536,5.506352964209546,8.279499999908069e-05,-2.1085163455899423,827.7399909685081
317,8784,29.571957831853368,6.733118231044221,5.389422780407618,8.279499999908069e-05,-4.420878479643559,721.5424208915254
315,8784,29.463249386042804,6.424533940012489,5.388886690879042,8.279499999908069e-05,-4.3872315524364005,462.71461097046915
313,8784,30.484188729280508,6.26399544413726,5.38137374449211,8.279499999908069e-05,-2.2401261409918325,751.8784093218582
310,8784,30.456249043829693,6.226362405192811,5.31785239601284,8.279499999908069e-05,-2.2841863135508387,716.4520653869165
322,8784,29.572157497381603,6.29111475678005,5.1054033102079615,8.279499999908069e-05,-4.142164651263574,344.85815712
306,8784,30.328339023224046,6.097359057177587,5.066268387298103,8.279499999908069e-05,-2.5623670119088846,556.7772458653368
321,8784,29.572286814093808,6.251367897282997,5.0002794513087165,8.279499999908069e-05,-3.9616642766828387,347.5138552322502
316,8784,29.68139014537796,6.323448857618433,4.984848874205199,8.279499999908069e-05,-4.016765523411093,411.7834781520394
318,8784,29.63016812192623,6.443105916297975,4.979059948694276,8.279499999908069e-05,-3.7013456356316925,341.35698112
314,8784,30.181481502049177,6.0847494426709146,4.900967289267725,8.279499999908069e-05,-2.9020457064904974,407.17226259393846
323,8784,30.143879711179416,6.070787024867517,4.835120181561479,8.279499999908069e-05,-3.026752144978918,409.0741106178706
325,8784,30.141705577299636,6.066933033571069,4.824766217452391,8.279499999908069e-05,-3.044167818826546,424.54106937762583
305,8784,30.124490717554643,6.050469957427571,4.821259552863177,8.279499999908069e-05,-3.0051943652074926,374.8242859074941
301,8784,29.804042315118398,6.180672199108206,4.819049253035903,8.279499999908069e-05,-3.7016225778189105,450.49567668645483
320,8784,30.049668874203093,6.084272168900798,4.755184359626198,8.279499999908069e-05,-3.2284215373835257,395.6365846161209
302,8784,29.92573698269581,6.080531239198597,4.659154648203967,8.279499999908069e-05,-3.4379521523811345,421.5973694211841
319,8784,29.878376455601092,6.138826248012714,4.647019636519676,8.279499999908069e-05,-3.5950931722013824,371.2047209765763
121,8784,29.67447059653916,5.832924217817261,4.401670825152111,8.279499999908069e-05,-2.957035150166935,214.6575347653815
223,8784,29.741739317509108,6.042785721416098,4.358158388919236,8.261000000331364e-05,-3.427999493518539,286.00794412
117,8784,29.58069203631603,5.8481498107303675,4.340359284940426,8.279499999908069e-05,-3.2521105643840507,218.9377697438586
220,8784,29.743343648565574,6.017677150256181,4.317819024434349,8.279499999908069e-05,-3.4134785305883346,280.67594312
213,8784,29.74593212192623,5.994749672504312,4.280530321059317,8.279499999908069e-05,-3.400299894735023,283.07637012000004
212,8784,29.746349588797813,5.992824026263819,4.2773596817304,8.279499999908069e-05,-3.3992291413299185,284.67141112
118,8784,29.629317957650276,5.780858085837968,4.259974267234152,8.279499999908069e-05,-3.0991084989714976,182.74562212
